Name,Price,Producer,Width,Depth,Height,Motherboard,Power Supply,Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation
"Corsair iCUE 5000T Midi-Tower, RGB, Tempered Glass - black",$311.9,Corsair,251 mm,530 mm,560 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Corsair iCUE 5000T Midi-Tower, RGB, Tempered Glass - white",$311.9,Corsair,251 mm,530 mm,560 mm,E-ATX,ATX,"grey, black, white",TRUE,TRUE,TRUE,FALSE
Raijintek Arcadia Midi-Tower - white,$33.41,RAIJINTEK,200 mm,455 mm,430 mm,ATX,ATX,white,FALSE,TRUE,TRUE,FALSE
Corsair Carbide SPEC-04 Midi-Tower - black/red,$36.26,Corsair,201 mm,492 mm,433 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Antec TORQUE Midi-Tower - black/red,$413.45,Antec,285 mm,621 mm,644 mm,ATX,ATX,red black,TRUE,FALSE,FALSE,FALSE
Thermaltake Versa H22 Midi-Tower - black,$43.52,Thermaltake,209 mm,480 mm,429 mm,ATX,ATX,black,FALSE,TRUE,TRUE,FALSE
Thermaltake Versa H21 Midi-Tower - black,$47.14,Thermaltake,209 mm,480 mm,429 mm,ATX,ATX,black,FALSE,TRUE,TRUE,FALSE
Corsair Carbide SPEC-04 Midi-Tower - black/grey,$47.14,Corsair,201 mm,492 mm,433 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Fractal Design Focus G Midi-Tower - blue Window,$47.87,Fractal Design,205 mm,464 mm,444 mm,ATX,ATX,blue,TRUE,TRUE,TRUE,FALSE
BitFenix Neos Midi-Tower - white/violett Window,$48.02,BitFenix,185 mm,470 mm,429 mm,ATX,ATX,"purple, white",TRUE,TRUE,TRUE,FALSE
Carbide Series 100R Mid-Tower,$49.32,Corsair,200 mm,430 mm,471 mm,ATX,ATX,,FALSE,FALSE,FALSE,FALSE
Carbide Series 270R ATX Mid-Tower,$50.77,Corsair,210 mm,460 mm,509 mm,ATX,ATX,,FALSE,FALSE,FALSE,FALSE
Corsair Carbide SPEC-04 Midi-Tower - black/yellow,$50.77,Corsair,201 mm,492 mm,433 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Corsair Carbide SPEC-05 Midi-Tower - black/red,$50.77,Corsair,199 mm,483 mm,433 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Fractal Design Focus G Midi-Tower - white Window,$51.49,Fractal Design,205 mm,464 mm,444 mm,ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
Fractal Design Focus G Midi-Tower - black Window,$52.22,Fractal Design,205 mm,464 mm,444 mm,ATX,ATX,black,TRUE,TRUE,FALSE,FALSE
Fractal Design Focus G Midi-Tower - grey Window,$54.4,Fractal Design,205 mm,464 mm,444 mm,ATX,ATX,gray,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P350X Midi-Tower, Tempered Glass - DRGB, black/white",$54.4,PHANTEKS,200 mm,455 mm,450 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Corsair Carbide SPEC-04 Midi-Tower, Tempered Glass - black/red",$55.05,Corsair,201 mm,492 mm,433 mm,ATX,ATX,red black,TRUE,TRUE,TRUE,FALSE
Thermaltake Versa J21 TG Midi-Tower - black,$56.27,Thermaltake,205 mm,447 mm,465 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P300 Midi-Tower, Tempered Glass - white",$56.99,PHANTEKS,200 mm,400 mm,450 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
Carbide Series 100R Silent Edition Mid-Tower,$58.02,Corsair,200 mm,430 mm,471 mm,ATX,ATX,,FALSE,FALSE,FALSE,TRUE
Carbide Series 270R Windowed ATX Mid-Tower,$58.02,Corsair,210 mm,460 mm,509 mm,ATX,ATX,,FALSE,FALSE,FALSE,FALSE
"PHANTEKS Eclipse P400 Midi-Tower, Tempered Glass - black",$58.02,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,black,TRUE,FALSE,TRUE,FALSE
"Antec Performance Series P8 Midi-Tower, Tempered Glass - black",$58.07,Antec,210 mm,470 mm,443 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Corsair Obsidian 1000D Big-Tower, Tempered Glass - black",$597.93,Corsair,307 mm,693 mm,697 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Carbide Series SPEC-ALPHA Mid-Tower Gaming — Black/Yellow,$61.65,Corsair,220 mm,474 mm,518 mm,ATX,ATX,black/yellow,FALSE,FALSE,FALSE,FALSE
"NZXT H510 Midi-Tower, TG - black Window",$61.65,NZXT,210 mm,428 mm,460 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"NZXT H510 Midi-Tower, TG - black/red Window",$61.65,NZXT,210 mm,428 mm,460 mm,ATX,ATX,red black,TRUE,TRUE,TRUE,FALSE
"NZXT H510 Midi-Tower, TG - white Window",$61.65,NZXT,210 mm,428 mm,460 mm,ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
Raijintek Agos Midi-Tower - white,$62.51,RAIJINTEK,200 mm,460 mm,490 mm,ATX,ATX,white,FALSE,TRUE,TRUE,FALSE
Corsair Carbide SPEC-02 Midi-Tower - black/red,$63.86,Corsair,220 mm,500 mm,430 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Fractal Design Focus G Midi-Tower - red Window,$64.54,Fractal Design,205 mm,464 mm,444 mm,ATX,ATX,red,TRUE,TRUE,TRUE,FALSE
Carbide Series SPEC-01 Red LED Mid-Tower Gaming,$64.63,Corsair,200 mm,428 mm,447 mm,ATX,ATX,black,FALSE,FALSE,FALSE,FALSE
"BitFenix Nova TG Midi-Tower, Tempered Glass - white",$66.73,BitFenix,201 mm,465 mm,437 mm,ATX,ATX,black-and-white,TRUE,TRUE,TRUE,FALSE
"Antec New Gaming NX210 Midi-Tower, RGB, Tempered Glass - black",$67.08,Antec,220 mm,395 mm,455 mm,ATX,ATX,black,TRUE,FALSE,TRUE,FALSE
"PHANTEKS Eclipse P300 Midi-Tower, Tempered Glass - black/red",$68.17,PHANTEKS,200 mm,400 mm,450 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Antec Dark Fleet DF500 Midi-Tower - black Window,$68.72,Antec,200 mm,470 mm,480 mm,ATX,ATX,red black,TRUE,TRUE,TRUE,FALSE
"BitFenix Nova TG Midi-Tower, Tempered Glass - black",$70.45,BitFenix,201 mm,465 mm,437 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Thermaltake Versa C21 RGB Midi-Tower - black Window,$70.92,Thermaltake,216 mm,469 mm,521 mm,ATX,ATX,black,TRUE,TRUE,FALSE,FALSE
"PHANTEKS Eclipse P300 Midi-Tower, Tempered Glass - black/white",$71.8,PHANTEKS,200 mm,400 mm,450 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P400 Midi-Tower, Tempered Glass - white",$71.8,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
"NZXT H510i Midi-Tower, RGB, TG - white Window",$72.53,NZXT,210 mm,428 mm,460 mm,ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
Corsair Carbide 275R Airflow Midi-Tower - black Window,$72.53,Corsair,216 mm,455 mm,457 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Thermaltake Core V31 Window Midi-Tower - black,$72.53,Thermaltake,208 mm,506 mm,470 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Cooler Master MasterBox Pro 5 RGB Midi-Tower - black Window,$72.53,Cooler Master,223 mm,500 mm,475 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Zalman R1 Midi-Tower - black,$73.2,Zalman,192 mm,450 mm,465 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Antec P7 Silent Midi-Tower - black,$73.27,Antec,210 mm,445 mm,470 mm,ATX,ATX,black,FALSE,TRUE,TRUE,TRUE
Thermaltake Versa C22 RGB Midi-Tower - black Window,$74.37,Thermaltake,198 mm,480 mm,538 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
NZXT H500 Midi-Tower - black/red Window,$75.76,NZXT,210 mm,428 mm,460 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Thermaltake Commander MS-I Snow Edition Midi-Tower - white/black,$76.04,Thermaltake,202 mm,484 mm,426 mm,ATX,ATX,black-and-white,FALSE,TRUE,TRUE,FALSE
"Thermaltake Level 20 MT ARGB Midi-Tower, Tempered Glass - black",$76.16,Thermaltake,204 mm,471 mm,455 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Corsair Carbide 110Q Midi-Tower - black,$76.16,Corsair,210 mm,418 mm,480 mm,ATX,ATX,black,FALSE,TRUE,TRUE,TRUE
Carbide Series SPEC-OMEGA Tempered Glass Mid-Tower ATX Gaming - Black/White,$76.16,Corsair,232 mm,516 mm,495 mm,ATX,ATX,black/white,FALSE,FALSE,FALSE,FALSE
"PHANTEKS Eclipse P400S Midi-Tower, Tempered Glass, black/white - isolated",$76.16,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,TRUE
Thermaltake View 22 TG Tempered Glass Midi-Tower - black,$76.74,Thermaltake,223 mm,467 mm,491 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P300 Midi-Tower, Tempered Glass - black",$77.02,PHANTEKS,200 mm,400 mm,450 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Antec Dark Fleet DF500 RGB Midi-Tower - black Tempered Glass,$77.88,Antec,200 mm,470 mm,480 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Cooler Master MasterBox Midi-Tower MB600L w/ODD - red,$78.2,Cooler Master,212 mm,464 mm,454 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Carbide Series SPEC-OMEGA Tempered Glass Mid-Tower ATX Gaming - Black/Red,$79.78,Corsair,232 mm,516 mm,495 mm,ATX,ATX,black/red,FALSE,FALSE,FALSE,FALSE
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - white",$79.78,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
RAIJINTEK Agos Midi-Tower - black,$79.81,RAIJINTEK,200 mm,460 mm,490 mm,ATX,ATX,black,FALSE,TRUE,TRUE,FALSE
"BitFenix Nova Mesh TG Midi-Tower, Tempered Glass - black",$81.44,BitFenix,201 mm,465 mm,437 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
NZXT SOURCE 340 Midi-Tower - black/red Window,$82.02,NZXT,200 mm,432 mm,445 mm,ATX,ATX,black,TRUE,TRUE,FALSE,FALSE
Fractal Design Meshify C Tempered Glass Dark Midi-Tower - black,$83.41,Fractal Design,217 mm,395 mm,440 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P400 Midi-Tower, Tempered Glass - anthrazit",$83.41,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,anthracite,TRUE,TRUE,TRUE,FALSE
"Antec New Gaming NX400 Midi-Tower, RGB, Tempered Glass - black",$83.77,Antec,230 mm,425 mm,465 mm,ATX,ATX,black,TRUE,FALSE,TRUE,FALSE
"Cooler Master MasterBox K500 Midi-Tower, Tempered Glass - black",$84.51,Cooler Master,210 mm,491 mm,455 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Thermaltake Versa N23 Midi-Tower - black Window,$85.17,Thermaltake,194 mm,503 mm,455 mm,ATX,ATX,black,TRUE,FALSE,TRUE,FALSE
"PHANTEKS Eclipse P350X Midi-Tower, Tempered Glass - DRGB, black",$85.98,PHANTEKS,200 mm,455 mm,450 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
