Name,Price,Producer,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics
MSI B450 Tomahawk Max II,$94.29,MSI,AM4,B450,True,ATX,DDR4,128 GB,4,6,0.0,1.0,0.0,1.0,False,False
ASRock B550 Phantom Gaming 4,$97.92,ASRock,AM4,B550,False,ATX,DDR4,128 GB,4,6,0.0,0.0,0.0,1.0,False,False
Asus PRIME B350M-E,$79.71,Asus,AM4,B350,True,ATX,DDR4,32 GB,2,4,1.0,1.0,,1.0,False,False
MSI B450 Gaming Plus,$101.55,MSI,AM4,B450,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,1.0,False,False
"MSI X470 Gaming Plus Max, AMD X470-, socket AM4",$101.55,MSI,AM4,X470,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
Asus PRIME B350-PLUS,$105.44,Asus,AM4,B350,True,ATX,DDR4,64 GB,4,6,1.0,1.0,,1.0,False,False
Asus TUF B350M-PLUS GAMING,$105.59,Asus,AM4,B350,True,ATX,DDR4,64 GB,4,6,1.0,1.0,,1.0,False,False
"Gigabyte AX370-Gaming 3, AMD X370",$107.19,Gigabyte,AM4,X370,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,1.0,False,False
Asus TUF B450-PLUS GAMING,$107.35,Asus,AM4,B450,True,ATX,DDR4,64 GB,4,6,,1.0,,1.0,False,False
ASRock Fatal1ty AB350 Gaming K4,$108.02,ASRock,AM4,B350,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
MSI B350 Tomahawk,$109.29,MSI,AM4,B350,True,ATX,DDR4,64 GB,4,4,0.0,0.0,0.0,0.0,False,False
"Gigabyte B450 Aorus Elite, AMD B450",$110.49,Gigabyte,AM4,B450,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,1.0,False,False
"Gigabyte AX370-Gaming K3, AMD X370",$111.08,Gigabyte,AM4,X370,True,ATX,DDR4,64 GB,4,8,0.0,0.0,0.0,0.0,False,False
"Gigabyte AB350-Gaming, AMD B350",$115.65,Gigabyte,AM4,B350,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
Asus PRIME X370-A,$119.73,Asus,AM4,X370,True,ATX,DDR4,64 GB,4,6,1.0,1.0,,1.0,False,False
"MSI B450 Gaming Pro Carbon AC, AMD B450",$123.31,MSI,AM4,B450,True,ATX,DDR4,64 GB,4,6,0.0,0.0,1.0,1.0,False,False
MSI X370 Gaming Pro Carbon,$123.31,MSI,AM4,X370,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,0.0,False,False
MSI B450 Tomahawk,$126.09,MSI,AM4,B450,True,ATX,DDR4,64 GB,4,6,0.0,0.0,0.0,1.0,False,False
"ASUS ROG Strix B450-F Gaming, AMD B450",$126.93,ASUS,AM4,B450,True,ATX,DDR4,64 GB,4,6,0.0,0.0,1.0,1.0,False,False
