Name,Price,Producer,Ram Type,Size,Clock,Timings,Sticks
G.Skill Trident Z DDR4-3200 16GB,$69.78,G.Skill,DDR4-3200,16 GB,3200,16-18-18-38-2N,2
Corsair Vengeance LPX black,$39.89,Corsair,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance LPX black,$50.77,Corsair,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro black,$65.28,Corsair,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro Series white,$68.9,Corsair,DDR4-3600,16 GB,3600,18-19-19-39,2
Corsair Vengeance RGB Pro SL,$50.77,Corsair,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB Pro SL,$64.54,Corsair,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RS,$66.72,Corsair,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RT,$72.53,Corsair,DDR4-3600,16 GB,3600,16-20-20-38,2
Corsair Vengeance RGB RT,$67.45,Corsair,DDR4-3600,16 GB,3600,18-22-22-42,2
Corsair Vengeance RGB RT,$72.36,Corsair,DDR4-3600,16 GB,3600,18-22-22-42,2
Crucial Ballistix Elite series,$76.88,Crucial,DDR4-3600,16 GB,3600,16-18-18,2
Kingston Fury Beast,$53.66,Kingston,DDR4-3600,16 GB,3600,CL17-21-21,2
Kingston Fury Renegade,$92.6,Kingston,DDR4-3600,16 GB,3600,16-20-20,2
Corsair Vengeance RGB RT,$97.92,Corsair,DDR4-4000,16 GB,4000,18-22-22-42,2
Thermaltake Toughram RGB DDR4-4400 CL19- 16 GB Dual-Kit,$156.51,Thermaltake,DDR4-4400,16 GB,4400,19-25-25-45,2
Crucial DDR5-4800,$29.12,Crucial,DDR5-4800,16 GB,4800,40-39-39,2
Kingston Fury Beast,$70.99,Kingston,DDR5-4800,16 GB,4800,38-38-38,1
Kingston Fury Beast Black,$63.09,Kingston,DDR5-5200,16 GB,5200,40-39-39,1
Corsair Vengeance LPX Series black,$79.78,Corsair,DDR4-2666,32 GB,2666,16-18-18-35,2
