Name,Price,Producer,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,Boost Clock,Vram,Memory Clock,TDP
EVGA GeForce RTX 2070 XC Ultra,$572.31,EVGA,269.2 mm,3.0,1,0,1,3,0,1725 MHz,8 GB,14000 MHz,175 W
Gigabyte GeForce RTX 2070 Super Gaming OC 3X,$589.94,Gigabyte,286.5 mm,2.5,1,1,1,3,0,1815 MHz,8 GB,14000 MHz,260 W
ZOTAC GAMING GeForce RTX 2070 Super Edition,$597.67,ZOTAC,268 mm,2.0,1,1,1,1,0,1800 MHz,8 GB,14000 MHz,215 W
Gigabyte Aorus GeForce RTX 2070 Super,$599.0,Gigabyte,290 mm,3.0,2,0,1,1,0,1905 MHz,8 GB,14000 MHz,260 W
ASUS GeForce RTX 2070 Super ROG Strix A8G Gaming,$602.05,ASUS,305 mm,2.75,2,0,1,1,0,1800 MHz,8 GB,14000 MHz,260 W
Gigabyte GeForce RTX 3060 Ti Gaming OC Pro 8G LHR,$649.8,Gigabyte,281 mm,2.0,1,1,2,2,0,1770 MHz,8 GB,14000 MHz,200 W
PNY GeForce RTX 2070 XLR8 Gaming OC,$665.21,PNY,188 mm,2.0,1,0,1,2,1,1710 MHz,8 GB,14000 MHz,185 W
MSI GeForce RTX 3070 Gaming Z Trio 8G LHR,$680.69,MSI,323 mm,2.7,2,0,1,3,0,MHz,8 GB,14000 MHz,240 W
EVGA GeForce RTX 2080 XC,$781.86,EVGA,269.2 mm,5.0,1,1,1,3,0,MHz,8 GB,14000 MHz,225 W
Gigabyte GeForce RTX 2080 WindForce OC 8G,$788.8,Gigabyte,280.35 mm,2.0,1,1,1,3,0,MHz,8 GB,14000 MHz,225 W
Gigabyte GeForce RTX 2080 Gaming OC,$808.39,Gigabyte,286.5 mm,5.0,1,1,1,3,0,MHz,8 GB,14000 MHz,225 W
EVGA GeForce RTX 2080 XC Ultra,$826.11,EVGA,269.2 mm,5.0,1,0,1,3,0,MHz,8 GB,14000 MHz,225 W
ZOTAC GAMING GeForce RTX 2080 AMP! Edition,$914.69,ZOTAC,308 mm,5.0,1,1,1,3,0,MHz,8 GB,14000 MHz,225 W
ZOTAC GAMING GeForce RTX 2080 Blower,$970.15,ZOTAC,268 mm,2.0,1,1,1,3,0,MHz,8 GB,14000 MHz,225 W
EVGA GeForce RTX 2080 Super FTW3 Ultra Gaming,$785.57,EVGA,301.925 mm,2.75,2,0,1,3,0,1845 MHz,8 GB,15000 MHz,250 W
EVGA GeForce RTX 2080 Super XC Ultra Gaming,$810.56,EVGA,269.83 mm,2.75,1,1,1,3,0,1845 MHz,8 GB,15000 MHz,250 W
MSI Geforce RTX 2080 Super Gaming X Trio,$1370.19,MSI,328 mm,2.75,2,0,1,3,0,1845 MHz,8 GB,15500 MHz,250 W
EVGA GeForce RTX 2070 Super KO Gaming,$553.79,EVGA,269.83 mm,2.0,1,1,1,1,0,1770 MHz,8 GB,15500 MHz,215 W
EVGA GeForce RTX 2070 Super XC Ultra+,$601.33,EVGA,269.83 mm,2.75,1,1,1,3,0,1800 MHz,8 GB,15500 MHz,215 W
