Name,Price,Producer,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics
"ASRock X570 Phantom Gaming 4, AMD X570",$148.69,ASRock,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,1,1,FALSE,FALSE
"MSI MPG X570 Gaming Plus, AMD X570",$158.84,MSI,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
"Gigabyte X570 Gaming X, AMD X570",$158.86,Gigabyte,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
"Gigabyte X570 UD, AMD X570",$166.83,Gigabyte,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
"ASRock X570 Steel Legend, AMD X570",$169.72,ASRock,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,0,1,FALSE,FALSE
"ASUS Prime X570-P, AMD X570",$175.53,ASUS,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE
"ASRock X570 Pro4, AMD X570",$176.59,ASRock,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,0,1,FALSE,FALSE
"Gigabyte X570 Aorus Elite, AMD X570",$179.89,Gigabyte,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE
ASRock B550 Steel Legend,$181.99,ASRock,AM4,B550,FALSE,ATX,DDR4,128 GB,4,6,0,0,1,1,FALSE,FALSE
ASRock B550 Extreme4,$188.6,ASRock,AM4,B550,FALSE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
"ASRock X570 Extreme4, AMD X570",$213.88,ASRock,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,0,1,FALSE,FALSE
ASRock B550 PG Velocita,$214.78,ASRock,AM4,B550,FALSE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
MSI MAG X570S Tomahawk WiFi,$232.11,MSI,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,1,TRUE,FALSE
MSI MPG X570S Edge Max WiFi,$232.11,MSI,AM4,X570S,FALSE,ATX,DDR4,128 GB,4,6,0,0,0,0,TRUE,FALSE
ASRock B550 Taichi,$236.78,ASRock,AM4,B550,FALSE,ATX,DDR4,128 GB,4,8,0,0,1,1,TRUE,FALSE
"MSI MPG X570 Gaming Pro Carbon WiFi, AMD X570",$252.42,MSI,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
"Gigabyte X570 Aorus Pro, AMD X570",$253.87,Gigabyte,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE
MSI MPG X570S Carbon Max WiFi,$275.64,MSI,AM4,X570S,FALSE,ATX,DDR4,128 GB,4,8,0,0,0,1,TRUE,FALSE
"Gigabyte X570 Aorus Ultra, AMD X570",$282.08,Gigabyte,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE
"MSI MEG X570 Unifiy, AMD X570-, socket AM4",$282.17,MSI,AM4,X570,TRUE,ATX,DDR4,128 GB,4,4,0,0,0,0,FALSE,FALSE
"ASUS ROG Strix X570-F Gaming, AMD X570",$291.59,ASUS,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,0,0,FALSE,FALSE
"ASRock X570 Taichi, AMD X570",$293.77,ASRock,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,0,1,FALSE,FALSE
"Gigabyte X570 Aorus Master, AMD X570",$317.71,Gigabyte,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
MSI MEG B550 Unify,$319.35,MSI,AM4,B550,FALSE,ATX,DDR4,128 GB,4,6,0,0,0,1,TRUE,FALSE
"ASUS ROG Crosshair VIII Hero, AMD X570",$362.68,ASUS,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,0,0,FALSE,FALSE
"MSI MEG X570 ACE, AMD X570",$362.68,MSI,AM4,X570,TRUE,ATX,DDR4,128 GB,4,4,0,0,0,0,FALSE,FALSE
MSI MEG X570S ACE Max,$387.34,MSI,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,0,0,TRUE,FALSE
"MSI MPG X570 Gaming Edge WiFi, AMD X570",$528.04,MSI,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
"ASUS ROG Crosshair VIII Formula, AMD X570",$536.04,ASUS,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,0,0,FALSE,FALSE
"ASUS TUF Gaming X570-Plus (WI-FI), AMD X570",$536.05,ASUS,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,1,1,FALSE,FALSE
MSI B450 Tomahawk Max II,$94.29,MSI,AM4,B450,TRUE,ATX,DDR4,128 GB,4,6,0,1,0,1,FALSE,FALSE
ASRock B550 Phantom Gaming 4,$97.92,ASRock,AM4,B550,FALSE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
Asus PRIME B350M-E,$79.71,Asus,AM4,B350,TRUE,ATX,DDR4,32 GB,2,4,1,1,,1,FALSE,FALSE
MSI B450 Gaming Plus,$101.55,MSI,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,1,FALSE,FALSE
"MSI X470 Gaming Plus Max, AMD X470-, socket AM4",$101.55,MSI,AM4,X470,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
Asus PRIME B350-PLUS,$105.44,Asus,AM4,B350,TRUE,ATX,DDR4,64 GB,4,6,1,1,,1,FALSE,FALSE
Asus TUF B350M-PLUS GAMING,$105.59,Asus,AM4,B350,TRUE,ATX,DDR4,64 GB,4,6,1,1,,1,FALSE,FALSE
"Gigabyte AX370-Gaming 3, AMD X370",$107.19,Gigabyte,AM4,X370,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,1,FALSE,FALSE
Asus TUF B450-PLUS GAMING,$107.35,Asus,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,,1,,1,FALSE,FALSE
ASRock Fatal1ty AB350 Gaming K4,$108.02,ASRock,AM4,B350,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
MSI B350 Tomahawk,$109.29,MSI,AM4,B350,TRUE,ATX,DDR4,64 GB,4,4,0,0,0,0,FALSE,FALSE
"Gigabyte B450 Aorus Elite, AMD B450",$110.49,Gigabyte,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,1,FALSE,FALSE
"Gigabyte AX370-Gaming K3, AMD X370",$111.08,Gigabyte,AM4,X370,TRUE,ATX,DDR4,64 GB,4,8,0,0,0,0,FALSE,FALSE
"Gigabyte AB350-Gaming, AMD B350",$115.65,Gigabyte,AM4,B350,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
Asus PRIME X370-A,$119.73,Asus,AM4,X370,TRUE,ATX,DDR4,64 GB,4,6,1,1,,1,FALSE,FALSE
"MSI B450 Gaming Pro Carbon AC, AMD B450",$123.31,MSI,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,0,0,1,1,FALSE,FALSE
MSI X370 Gaming Pro Carbon,$123.31,MSI,AM4,X370,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
MSI B450 Tomahawk,$126.09,MSI,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,1,FALSE,FALSE
"ASUS ROG Strix B450-F Gaming, AMD B450",$126.93,ASUS,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,0,0,1,1,FALSE,FALSE
"Gigabyte AX370-Gaming K5, AMD X370-",$142.6,Gigabyte,AM4,X370,TRUE,ATX,DDR4,64 GB,4,8,0,0,0,0,FALSE,FALSE
"Gigabyte X470 Aorus Ultra Gaming, AMD X470",$144.85,Gigabyte,AM4,X470,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
Asus TUF X470-PLUS GAMING,$152.89,Asus,AM4,X470,TRUE,ATX,DDR4,64 GB,4,6,,1,,1,FALSE,FALSE
